acc	feature	start..end	content_fraction	content_count	 length
Q64693	prediction-disorder-glo	5..6,8..8,11..20,39..51,59..63,94..99,128..138,140..144,147..205,216..218,247..247,249..249,251..251,254..254	0.465	119	
Q64693	prediction-disorder-jronn	1..53,75..83,144..173,178..203,211..213,248..256	0.508	130	
Q64693	prediction-disorder-espD	1..39	0.152	39	
Q64693	prediction-disorder-dis465	1..17,34..40,156..160,189..189,253..256	0.133	34	
Q64693	prediction-disorder-disHL	1..24,36..55,215..221,237..256	0.277	71	
Q64693	prediction-disorder-espN	1..58,90..96,98..101,114..204,214..222,254..256	0.672	172	
Q64693	homology-domain-pfam	7..255	0.973	249	
Q64693	prediction-lip-anchor	1..6,24..32,63..70,84..84,176..177,204..212,229..237,250..256	0.199	51	
Q64693	prediction-disorder-mobidb_lite	1..24	0.094	24	
Q64693	prediction-disorder-th_50	1..51,151..169,171..174,176..176,178..179,187..198,200..200,202..202,204..204,216..219,249..251,253..256	0.402	103	
Q64693	prediction-low_complexity-merge	90..104	0.059	15	
Q64693	homology-domain-merge	7..255,256..255	0.973	249	
Q64693	curated-disorder-disprot	1..256	1	256	
Q64693	curated-disorder-merge	1..256	1	256	
Q64693	curated-disorder-priority	1..256	1	256	
Q64693	homology-disorder-ideal	1..256	1	256	
Q64693	homology-disorder-merge	1..256	1	256	
Q64693	homology-lip-ideal	1..65	0.254	65	
Q64693	homology-lip-merge	1..65	0.254	65	
Q64693	homology-lip-priority	1..65	0.254	65	
Q64693	prediction-lip-priority	66..70,84..84,176..177,204..212,229..237,250..256	0.129	33	
P32774	homology-domain-gene3d	2..57,58..118	0.959	117	
P32774	homology-domain-pfam	6..52,63..118	0.844	103	
P32774	prediction-disorder-espX	1..7,85..110,114..122	0.344	42	
P32774	prediction-disorder-jronn	86..114,122..122	0.246	30	
P32774	prediction-disorder-vsl	1..5,53..61,89..122	0.393	48	
P32774	prediction-disorder-glo	3..4,67..67,91..103,116..117,120..120	0.156	19	
P32774	prediction-disorder-espD	76..109	0.279	34	
P32774	prediction-disorder-dis465	1..4,88..103,117..117,119..122	0.205	25	
P32774	prediction-disorder-disHL	1..4,12..17,50..69,91..110,116..122	0.467	57	
P32774	prediction-disorder-espN	1..3,89..106,119..122	0.205	25	
P32774	prediction-disorder-iups	1..4,94..103,116..122	0.172	21	
P32774	prediction-disorder-iupl	90..99	0.082	10	
P32774	prediction-lip-anchor	71..80,110..114	0.123	15	
P32774	prediction-disorder-th_50	1..4,89..109,116..117,119..122	0.254	31	
P32774	homology-domain-merge	2..118	0.959	117	
P32774	curated-disorder-disprot	89..104	0.131	16	
P32774	curated-disorder-merge	89..104	0.131	16	
P32774	curated-disorder-priority	89..104	0.131	16	
P32774	derived-binding_mode_disorder_to_disorder-mobi	1..3,90..102,122..122	0.139	17	
P32774	derived-binding_mode_disorder_to_disorder-priority	1..3,90..102,122..122	0.139	17	
P32774	derived-binding_mode_disorder_to_order-mobi	89..89,103..104,121..121	0.033	4	
P32774	derived-binding_mode_disorder_to_order-priority	89..89,103..104,121..121	0.033	4	
P32774	derived-missing_residues-priority	1..3,121..122	0.041	5	
P32774	derived-missing_residues-th_90	1..3,89..103,121..122	0.164	20	
P32774	derived-missing_residues_context_dependent-th_90	4..4,104..104,120..120	0.025	3	
P32774	derived-observed-priority	5..88,105..119	0.811	99	
P32774	derived-observed-th_90	5..88,105..119	0.811	99	
P32774	prediction-lip-priority	71..80,110..114	0.123	15	
P0DMM9	prediction-lip-anchor	286..295	0.034	10	
P0DMM9	prediction-low_complexity-seg	109..119	0.037	11	
P0DMM9	prediction-disorder-dis465	1..6,8..8,290..295	0.044	13	
P0DMM9	prediction-disorder-disHL	1..15,66..69,84..88,92..101,111..111,113..118,147..152,198..199,212..218,228..237,286..287,289..295	0.254	75	
P0DMM9	prediction-disorder-espN	1..10,85..100,146..155,236..238,293..295	0.142	42	
P0DMM9	prediction-disorder-espX	1..10,89..91,291..295	0.061	18	
P0DMM9	prediction-disorder-iupl	1..2,89..99,235..235,240..240,243..243	0.054	16	
P0DMM9	prediction-disorder-iups	1..7,90..101,236..237,240..241,245..245,291..295	0.098	29	
P0DMM9	prediction-disorder-jronn	4..5,7..11,80..104	0.108	32	
P0DMM9	prediction-disorder-vsl	1..7,85..106,145..153,197..202,215..249,290..295	0.288	85	
P0DMM9	prediction-disorder-glo	5..7,9..10,42..47,83..105,148..155,257..257,287..287,289..289,292..292	0.156	46	
P0DMM9	homology-domain-pfam	38..287	0.847	250	
P0DMM9	prediction-disorder-th_50	1..10,85..101,291..295	0.108	32	
P0DMM9	prediction-low_complexity-merge	109..119	0.037	11	
P0DMM9	homology-domain-merge	38..287	0.847	250	
P0DMM9	curated-disorder-disprot	63..76,215..260	0.203	60	
P0DMM9	curated-disorder-merge	63..76,215..260	0.203	60	
P0DMM9	curated-disorder-priority	63..76,215..260	0.203	60	
P0DMM9	derived-binding_mode_disorder_to_disorder-mobi	1..7	0.024	7	
P0DMM9	derived-binding_mode_disorder_to_disorder-priority	1..7	0.024	7	
P0DMM9	derived-binding_mode_disorder_to_order-mobi	64..77,91..93,216..261,294..295	0.22	65	
P0DMM9	derived-binding_mode_disorder_to_order-priority	64..77,91..93,216..261,294..295	0.22	65	
P0DMM9	derived-missing_residues-priority	1..7	0.024	7	
P0DMM9	derived-missing_residues-th_90	1..7	0.024	7	
P0DMM9	derived-missing_residues_context_dependent-th_90	8..8,64..77,91..93,216..261,294..295	0.224	66	
P0DMM9	derived-observed-priority	9..62,78..90,94..214,262..293	0.746	220	
P0DMM9	derived-observed-th_90	9..63,78..90,94..215,262..293	0.753	222	
P0DMM9	prediction-lip-priority	286..295	0.034	10	
P13569	prediction-low_complexity-pfilt	196..219,309..328,859..884,986..1034,1103..1122	0.094	139	
P13569	prediction-low_complexity-seg	305..322,995..1012,1106..1119	0.034	50	
P13569	prediction-disorder-jronn	34..59,409..431,475..486,543..549,666..698,716..746,749..801,891..901,1039..1054,1165..1209,1439..1480	0.202	299	
P13569	prediction-disorder-iups	1..6,416..420,682..683,688..692,695..695,698..698,719..728,730..739,750..751,766..767,772..773,780..792,794..795,819..819,1175..1183,1448..1448,1451..1456,1458..1480	0.068	101	
P13569	prediction-disorder-vsl	1..9,44..67,110..116,248..252,409..427,476..485,636..640,653..798,800..801,808..827,889..902,1039..1048,1170..1188,1244..1251,1431..1480	0.235	348	
P13569	prediction-disorder-glo	3..4,9..10,415..431,543..546,640..646,888..898,1170..1183,1201..1209,1237..1249,1449..1457,1476..1477	0.061	90	
P13569	prediction-disorder-espX	1..10,414..425,1438..1480	0.044	65	
P13569	prediction-disorder-espD	1460..1478	0.013	19	
P13569	prediction-disorder-espN	1..7,47..48,64..67,414..426,459..463,672..674,690..701,718..731,742..743,778..782,813..819,886..902,1046..1047,1123..1126,1170..1183,1205..1210,1471..1480	0.086	127	
P13569	prediction-disorder-dis465	1..10,251..252,480..483,678..687,727..732,781..792,891..898,1041..1042,1174..1180,1452..1462,1467..1480	0.058	86	
P13569	prediction-disorder-disHL	1..28,31..48,59..70,108..113,258..261,416..425,457..464,478..486,494..500,533..552,668..682,686..731,739..761,775..810,812..812,820..829,889..901,1045..1050,1166..1187,1197..1207,1231..1235,1266..1272,1288..1290,1307..1307,1370..1377,1433..1480	0.255	377	
P13569	prediction-disorder-iupl	416..416,680..681,686..686,688..693,695..695,698..699,719..740,749..751,781..784,788..790,1175..1175,1177..1180,1452..1452,1461..1463,1477..1480	0.039	58	
P13569	curated-disorder-uniprot	654..831	0.12	178	
P13569	homology-domain-pfam	441..575,1227..1374,82..350,862..1147,639..849	0.709	1049	
P13569	homology-domain-gene3d	52..382,834..1174	0.454	672	
P13569	prediction-lip-anchor	704..716,748..756,769..773	0.018	27	
P13569	prediction-disorder-mobidb_lite	1452..1480	0.02	29	
P13569	prediction-polyampholyte-mobidb_lite_sub	1463..1480	0.012	18	
P13569	prediction-disorder-th_50	1..7,9..9,415..425,680..682,686..686,688..693,695..695,698..698,719..732,739..739,750..751,780..792,891..898,1170..1183,1448..1480	0.078	116	
P13569	prediction-low_complexity-merge	196..219,305..328,859..884,986..1034,1103..1122	0.097	143	
P13569	homology-domain-merge	52..382,441..575,639..1174,1227..1374	0.777	1150	
P13569	curated-binding_mode_disorder_to_disorder-fuzdb	654..838	0.125	185	
P13569	curated-binding_mode_disorder_to_disorder-merge	654..838	0.125	185	
P13569	curated-binding_mode_disorder_to_disorder-priority	654..838	0.125	185	
P13569	curated-disorder-disprot	654..838	0.125	185	
P13569	curated-disorder-ideal	375..390,402..439,533..538,542..546,636..648,670..678,747..750,757..766,771..801,1193..1203	0.097	143	
P13569	curated-disorder-merge	375..390,402..439,533..538,542..546,636..648,654..838,1193..1203	0.185	274	
P13569	curated-disorder-priority	375..390,402..439,533..538,542..546,636..648,654..838,1193..1203	0.185	274	
P13569	curated-lip-dibs	747..801	0.037	55	
P13569	curated-lip-elm	751..755,766..770,792..797,1475..1480	0.015	22	
P13569	curated-lip-merge	747..801,1475..1480	0.041	61	
P13569	curated-lip-priority	747..801,1475..1480	0.041	61	
P13569	derived-binding_mode_disorder_to_disorder-mobi	419..425,677..749,759..763,775..792,799..843,890..899,1174..1201,1452..1472	0.14	207	
P13569	derived-binding_mode_disorder_to_disorder-priority	419..425,839..843,890..899,1174..1201,1452..1472	0.048	71	
P13569	derived-binding_mode_disorder_to_order-mobi	426..433,647..647,750..758,764..774,793..798,1473..1480	0.029	43	
P13569	derived-binding_mode_disorder_to_order-priority	426..433,647..647,1473..1480	0.011	17	
P13569	derived-lip-merge	6..22,750..758,764..774,793..798,1473..1480	0.034	51	
P13569	derived-lip-priority	1473..1474	0.001	2	
P13569	derived-lip-th_90	750..758,764..766,771..774,793..794,796..798,1473..1480	0.02	29	
P13569	derived-missing_residues-priority	839..843,890..899,1174..1192,1452..1472	0.037	55	
P13569	derived-missing_residues-th_90	415..428,676..749,759..763,775..792,799..843,890..899,1174..1201,1452..1472	0.145	215	
P13569	derived-missing_residues_context_dependent-th_90	1..4,375..414,429..442,479..484,543..545,637..675,750..758,764..774,793..798,844..844,884..889,900..908,1101..1101,1173..1173,1202..1206,1437..1451,1473..1480	0.12	178	
P13569	derived-mobile-th_90	1473..1475	0.002	3	
P13569	derived-mobile_context_dependent-th_90	1476..1480	0.003	5	
P13569	derived-observed-priority	5..374,443..478,485..532,539..541,547..635,845..883,909..1100,1102..1172,1207..1436	0.728	1078	
P13569	derived-observed-th_90	5..374,443..478,485..542,546..636,845..883,909..1100,1102..1172,1207..1436	0.734	1087	
P13569	prediction-disorder-priority	1473..1480	0.005	8	
P13569	prediction-lip-priority	704..716	0.009	13	
P0DN86	prediction-low_complexity-seg	7..13,138..158	0.17	28	
P0DN86	prediction-disorder-jronn	20..31,120..165	0.352	58	
P0DN86	prediction-disorder-iups	1..2,131..165	0.224	37	
P0DN86	prediction-disorder-vsl	1..3,22..23,113..165	0.352	58	
P0DN86	prediction-disorder-glo	5..5,21..25,88..97,115..160,163..163	0.382	63	
P0DN86	prediction-disorder-espX	1..4,113..165	0.345	57	
P0DN86	prediction-disorder-espD	122..165	0.267	44	
P0DN86	prediction-disorder-espN	1..4,116..165	0.327	54	
P0DN86	prediction-disorder-dis465	1..4,22..23,117..122,134..159,161..165	0.261	43	
P0DN86	prediction-disorder-disHL	1..2,19..29,36..44,86..95,118..125,141..165	0.394	65	
P0DN86	prediction-disorder-iupl	131..165	0.212	35	
P0DN86	homology-domain-pfam	27..130	0.63	104	
P0DN86	homology-domain-gene3d	21..131	0.673	111	
P0DN86	prediction-lip-anchor	8..11,160..165	0.061	10	
P0DN86	prediction-disorder-mobidb_lite	131..165	0.212	35	
P0DN86	prediction-proline_rich-mobidb_lite_sub	144..165	0.133	22	
P0DN86	prediction-disorder-th_50	1..2,22..23,117..165	0.321	53	
P0DN86	prediction-low_complexity-merge	7..13,138..158	0.17	28	
P0DN86	homology-domain-merge	21..131	0.673	111	
P0DN86	curated-disorder-disprot	132..165	0.206	34	
P0DN86	curated-disorder-merge	132..165	0.206	34	
P0DN86	curated-disorder-priority	132..165	0.206	34	
P0DN86	derived-binding_mode_disorder_to_disorder-mobi	21..21,133..165	0.206	34	
P0DN86	derived-binding_mode_disorder_to_disorder-priority	21..21,133..165	0.206	34	
P0DN86	derived-binding_mode_disorder_to_order-mobi	132..132	0.006	1	
P0DN86	derived-binding_mode_disorder_to_order-priority	132..132	0.006	1	
P0DN86	derived-missing_residues-priority	21..21	0.006	1	
P0DN86	derived-missing_residues-th_90	21..21,133..165	0.206	34	
P0DN86	derived-missing_residues_context_dependent-th_90	132..132	0.006	1	
P0DN86	derived-observed-priority	22..131	0.667	110	
P0DN86	derived-observed-th_90	22..131	0.667	110	
P0DN86	prediction-lip-priority	8..11,160..165	0.061	10	
P05371	prediction-low_complexity-pfilt	59..79	0.047	21	
P05371	prediction-low_complexity-seg	74..81	0.018	8	
P05371	prediction-disorder-jronn	22..45,61..94,166..172,203..209,211..215,266..269,275..277,290..293,313..332,348..352,387..401,421..447	0.347	155	
P05371	prediction-disorder-iups	81..82,84..84,206..207,272..272,440..447	0.031	14	
P05371	prediction-disorder-vsl	23..37,49..104,160..177,185..186,197..237,256..259,274..358,385..447	0.635	284	
P05371	prediction-disorder-glo	201..216,233..239,275..277,284..284,443..443	0.063	28	
P05371	prediction-disorder-espX	65..87,441..447	0.067	30	
P05371	prediction-disorder-espD	443..443	0.002	1	
P05371	prediction-disorder-espN	35..36,77..92,130..134,177..181,196..216,234..235,258..265,277..279,389..395,441..447	0.17	76	
P05371	prediction-disorder-dis465	1..2,28..34,77..88,386..398,439..447	0.096	43	
P05371	prediction-disorder-disHL	1..2,47..53,61..63,74..92,206..213,276..280,290..298,374..380,387..399,408..430,439..447	0.235	105	
P05371	prediction-disorder-iupl	70..71,80..85,173..173,282..282,285..285,318..321,323..327,382..389,391..393,395..395,419..420,427..428,432..434,439..440,443..444	0.096	43	
P05371	homology-domain-pfam	29..444	0.931	416	
P05371	prediction-lip-anchor	1..13,404..411	0.047	21	
P05371	prediction-disorder-th_50	77..88,206..209,211..213,277..277,387..395,439..447	0.085	38	
P05371	prediction-low_complexity-merge	59..81	0.051	23	
P05371	homology-domain-merge	29..444	0.931	416	
P05371	prediction-signal_peptide-uniprot	1..21	0.04697986577181208	21	
P05371	curated-disorder-disprot	22..41,66..97,386..447	0.255	114	
P05371	curated-disorder-merge	22..41,66..97,386..447	0.255	114	
P05371	curated-disorder-priority	22..41,66..97,386..447	0.255	114	
P05371	prediction-lip-priority	1..13,404..411	0.047	21	
P61926	prediction-lip-anchor	4..14,22..32,35..48	0.474	36	
P61926	prediction-disorder-dis465	1..6,51..76	0.421	32	
P61926	prediction-disorder-disHL	1..3,5..6,12..21,29..36,53..76	0.618	47	
P61926	prediction-disorder-vsl	1..5,30..76	0.684	52	
P61926	prediction-disorder-glo	1..2,5..6,9..10,68..68,73..73,75..76	0.132	10	
P61926	prediction-disorder-espX	1..76	1	76	
P61926	prediction-disorder-espN	1..5,32..35,47..76	0.513	39	
P61926	prediction-disorder-iups	1..6,49..76	0.447	34	
P61926	prediction-disorder-iupl	6..15,22..29,39..76	0.737	56	
P61926	prediction-disorder-espD	1..76	1	76	
P61926	prediction-disorder-jronn	1..3,37..76	0.566	43	
P61926	homology-domain-pfam	2..70	0.908	69	
P61926	prediction-disorder-mobidb_lite	49..76	0.368	28	
P61926	prediction-polar-mobidb_lite_sub	61..76	0.211	16	
P61926	prediction-disorder-th_50	1..6,32..35,39..76	0.632	48	
P61926	homology-domain-merge	2..70	0.908	69	
P61926	curated-disorder-disprot	1..76	1	76	
P61926	curated-disorder-ideal	14..34,45..76	0.697	53	
P61926	curated-disorder-merge	1..76	1	76	
P61926	curated-disorder-priority	1..76	1	76	
P61926	curated-lip-dibs	30..54	0.329	25	
P61926	curated-lip-disprot	1..76	1	76	
P61926	curated-lip-ideal	14..25	0.158	12	
P61926	curated-lip-merge	1..76	1	76	
P61926	curated-lip-priority	1..76	1	76	
P61926	derived-binding_mode_disorder_to_order-mobi	23..25	0.039	3	
P61926	derived-binding_mode_disorder_to_order-priority	23..25	0.039	3	
P61926	derived-lip-merge	6..25	0.263	20	
P61926	derived-lip-th_90	6..25	0.263	20	
P61926	derived-observed-th_90	6..25	0.263	20	
P38936	prediction-disorder-glo	1..1,3..3,5..6,11..19,74..101,122..142,159..159,163..164	0.396	65	
P38936	prediction-disorder-iupl	1..9,76..105,107..107,113..115,117..147,153..154,162..164	0.482	79	
P38936	prediction-disorder-iups	1..8,79..79,82..109,112..164	0.549	90	
P38936	prediction-disorder-espX	1..17,79..164	0.628	103	
P38936	prediction-disorder-espD	1..164	1	164	
P38936	prediction-disorder-espN	1..15,70..112,117..164	0.646	106	
P38936	prediction-low_complexity-seg	81..96	0.098	16	
P38936	prediction-disorder-jronn	1..5,9..32,72..108,117..155	0.64	105	
P38936	prediction-disorder-vsl	1..32,73..164	0.756	124	
P38936	prediction-disorder-dis465	1..11,93..93,107..111,123..145,160..164	0.274	45	
P38936	prediction-disorder-disHL	1..19,22..30,48..50,60..67,71..94,102..108,123..164	0.683	112	
P38936	homology-domain-pfam	21..68	0.293	48	
P38936	prediction-lip-anchor	36..41,53..53,65..65,68..79,100..105,109..123,145..164	0.372	61	
P38936	prediction-disorder-mobidb_lite	76..164	0.543	89	
P38936	prediction-disorder-th_50	1..19,73..115,117..164	0.671	110	
P38936	prediction-low_complexity-merge	81..96	0.098	16	
P38936	homology-domain-merge	21..68	0.293	48	
P38936	curated-binding_mode_disorder_to_disorder-fuzdb	27..48	0.134	22	
P38936	curated-binding_mode_disorder_to_disorder-merge	27..48	0.134	22	
P38936	curated-binding_mode_disorder_to_disorder-priority	27..48	0.134	22	
P38936	curated-disorder-disprot	1..164	1	164	
P38936	curated-disorder-ideal	1..164	1	164	
P38936	curated-disorder-merge	1..164	1	164	
P38936	curated-disorder-priority	1..164	1	164	
P38936	curated-lip-dibs	139..160	0.134	22	
P38936	curated-lip-disprot	9..84	0.463	76	
P38936	curated-lip-elm	16..26,140..158	0.183	30	
P38936	curated-lip-ideal	125..164	0.244	40	
P38936	curated-lip-merge	9..84,125..164	0.707	116	
P38936	curated-lip-priority	9..84,125..164	0.707	116	
P38936	derived-binding_mode_disorder_to_disorder-mobi	9..13,68..85	0.14	23	
P38936	derived-binding_mode_disorder_to_disorder-priority	9..13,68..85	0.14	23	
P38936	derived-binding_mode_disorder_to_order-mobi	154..160	0.043	7	
P38936	derived-binding_mode_disorder_to_order-priority	154..160	0.043	7	
P38936	derived-lip-merge	14..67,142..160	0.445	73	
P38936	derived-lip-th_90	14..67,142..160	0.445	73	
P38936	derived-missing_residues-th_90	9..13,68..85	0.14	23	
P38936	derived-missing_residues_context_dependent-th_90	139..142,154..160	0.067	11	
P38936	derived-mobile-th_90	139..152	0.085	14	
P38936	derived-observed-th_90	14..67,143..153	0.396	65	
P38936	prediction-lip-priority	100..105,109..123	0.128	21	
P49918	prediction-disorder-glo	1..2,4..4,7..10,66..78,134..164,181..222,231..232,235..235,240..253,283..306,309..310	0.43	136	
P49918	prediction-disorder-iupl	1..3,45..49,51..51,57..57,59..59,61..67,72..78,83..83,116..117,120..166,180..264,270..271,273..316	0.652	206	
P49918	prediction-disorder-iups	1..8,65..67,76..77,124..144,201..253,278..316	0.399	126	
P49918	prediction-disorder-espX	1..11,119..153,169..316	0.614	194	
P49918	prediction-disorder-espD	2..3,150..150,152..316	0.532	168	
P49918	prediction-disorder-espN	1..11,57..59,64..75,85..85,116..316	0.722	228	
P49918	prediction-low_complexity-seg	101..125,137..220,251..263,291..307	0.44	139	
P49918	prediction-disorder-jronn	1..12,37..60,68..86,112..261,273..316	0.788	249	
P49918	prediction-disorder-vsl	1..23,26..28,37..60,69..69,110..316	0.816	258	
